GEO-COUNTRY,PMI-COUNTRY,
Afghanistan,,
Albania,Albania,
Algeria,,
Angola,Angola,
Antarctica,,
Argentina,Argentina,
Armenia,Armenia,
Australia,Australia,
Austria,Austria,
Azerbaijan,Azerbaijan,
Bahamas,,
Bangladesh,Bangladesh,
Belarus,Belarus,
Belgium,Belgium,
Belize,Belize,
Benin,,
Bhutan,,
Bolivia,,
Bosnia and Herz.,Bosnia-Herzegovinia,
Botswana,Botswana,
Brazil,Brazil,
Brunei,,
Bulgaria,Bulgaria,
Burkina Faso,,
Burundi,Burundi,
Cambodia,Cambodia,
Cameroon,Cameroon,
Canada,,
Central African Rep.,Central Africa,
Chad,,
Chile,Chile,
China,China,
Colombia,Colombia,
Congo,Congo,
Costa Rica,Costa Rica,
Croatia,Croatia,
Cuba,,
Cyprus,,
Czechia,Czech Republic,
Côte d'Ivoire,Ivory Coast,
Dem. Rep. Congo,Congo, Rep. Dem.
Denmark,Denmark,
Djibouti,Djibouti,
Dominican Rep.,Dominican Republic,
Ecuador,Ecuador,
Egypt,Egypt,
El Salvador,El Salvador,
Eq. Guinea,,
Eritrea,,
Estonia,,
Ethiopia,Ethiopia,
Falkland Is.,,
Fiji,,
Finland,Finland,
Fr. S. Antarctic Lands,,
France,France,
Gabon,Gabon,
Gambia,Gambia,
Georgia,Georgia,
Germany,Germany,
Ghana,Ghana,
Greece,Greece,
Greenland,,
Guatemala,Guatemala,
Guinea,Guinea,
Guinea-Bissau,,
Guyana,,
Haiti,,
Honduras,,
Hungary,,
Iceland,,
India,India,
Indonesia,Indonesia,
Iran,,
Iraq,Iraq,
Ireland,Ireland,
Israel,Israel,
Italy,Italy,
Jamaica,Jamaica,
Japan,Japan,
Jordan,Jordan,
Kazakhstan,Kazakhstan,
Kenya,Kenya,
Kosovo,Kosovo,
Kuwait,Kuwait,
Kyrgyzstan,Kyrgyzstan,
Laos,Laos,
Latvia,Latvia,
Lebanon,Lebanon,
Lesotho,,
Liberia,,
Libya,,
Lithuania,Lithuania,
Luxembourg,,
Madagascar,Madagascar,
Malawi,,
Malaysia,Malaysia,
Mali,Mali,
Mauritania,Mauritania,
Mexico,Mexico,
Moldova,,
Mongolia,Mongolia,
Montenegro,Montenegro,
Morocco,Morocco,
Mozambique,Mozambique,
Myanmar,Myanmar,
N. Cyprus,,
Namibia,Namibia,
Nepal,,
Netherlands,Netherlands,
New Caledonia,,
New Zealand,New Zealand,
Nicaragua,Nicaragua,
Niger,Niger,
Nigeria,Nigeria,
North Korea,,
North Macedonia,Macedonia,
Norway,Norway,
Oman,Oman,
Pakistan,Pakistan,
Palestine,,
Panama,Panama,
Papua New Guinea,,
Paraguay,Paraguay,
Peru,Peru,
Philippines,Philippines,
Poland,Poland,
Portugal,Portugal,
Puerto Rico,,
Qatar,Qatar,
Romania,,
Russia,Russia,
Rwanda,Rwanda,
S. Sudan,South Sudan,
Saudi Arabia,Saudi Arabia,
Senegal,Senegal,
Serbia,Serbia,
Sierra Leone,Sierra Leone,
Slovakia,,
Slovenia,,
Solomon Is.,,
Somalia,,
Somaliland,,
South Africa,South Africa,
South Korea,South Korea,
Spain,Spain,
Sri Lanka,Sri Lanka,
Sudan,,
Suriname,Suriname,
Sweden,Sweden,
Switzerland,Switzerland,
Syria,,
Taiwan,Taiwan,
Tajikistan,,
Tanzania,Tanzania,
Thailand,,
Timor-Leste,,
Togo,Togo,
Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,
Turkey,Turkey,
Turkmenistan,,
Uganda,Uganda,
Ukraine,,
United Arab Emirates,United Arab Emirates,
United Kingdom,Great Britain,
United States of America,,
Uruguay,Uruguay,
Uzbekistan,Uzbekistan,
Vanuatu,,
Venezuela,,
Vietnam,Vietnam,
W. Sahara,,
Yemen,,
Zambia,Zambia,
Zimbabwe,,
eSwatini,,